name,qid,measure,value,split
BM25,46,nDCG@10,0.6908849914259907,train
BM25,46,AP(rel=3)@10,0.08777281746031745,train
BM25,47,recip_rank,1.0,validation
BM25,47,nDCG@10,0.467873711488216,validation
BM25,47,AP(rel=3)@10,0.19576719576719576,validation
BM25,5,recip_rank,1.0,train
BM25,5,nDCG@10,0.9426616130421985,train
BM25,5,AP(rel=3)@10,0.15153256704980844,train
BM25,6,recip_rank,1.0,train
BM25,6,nDCG@10,0.41408310660793807,train
BM25,6,AP(rel=3)@10,0.032432432432432434,train
BM25,7,recip_rank,1.0,train
BM25,7,nDCG@10,0.7923703084503123,train
BM25,7,AP(rel=3)@10,0.21848799348799347,train
BM25,8,recip_rank,1.0,test
BM25,8,nDCG@10,0.7562657394524098,test
BM25,8,AP(rel=3)@10,0.14425008098477485,test
BM25,9,recip_rank,1.0,train
BM25,9,nDCG@10,0.8121210404232453,train
BM25,9,AP(rel=3)@10,0.21739130434782608,train
BM25_DLM,1,recip_rank,1.0,train
BM25_DLM,1,nDCG@10,0.46904424715681853,train
BM25_DLM,1,AP(rel=3)@10,0.05185185185185185,train
BM25_DLM,10,recip_rank,1.0,train
BM25_DLM,10,nDCG@10,0.7928366624220853,train
BM25_DLM,10,AP(rel=3)@10,0.21707317073170732,train
BM25_DLM,11,recip_rank,0.09090909090909091,validation
BM25_DLM,11,nDCG@10,0.0,validation
BM25_DLM,11,AP(rel=3)@10,0.0,validation
BM25_DLM,12,recip_rank,1.0,train
BM25_DLM,12,nDCG@10,0.9704341018169095,train
BM25_DLM,12,AP(rel=3)@10,0.18518518518518517,train
BM25_DLM,13,recip_rank,0.0,train
BM25_DLM,13,nDCG@10,0.0,train
BM25_DLM,13,AP(rel=3)@10,0.0,train
BM25_DLM,14,recip_rank,1.0,train
BM25_DLM,14,nDCG@10,0.5863006385976685,train
BM25_DLM,14,AP(rel=3)@10,0.0815597667638484,train
BM25_DLM,15,recip_rank,1.0,test
BM25_DLM,15,nDCG@10,0.9466280556096693,test
BM25_DLM,15,AP(rel=3)@10,0.20408163265306123,test
BM25_DLM,16,recip_rank,1.0,train
BM25_DLM,16,nDCG@10,0.3230883947885669,train
BM25_DLM,16,AP(rel=3)@10,0.04111111111111111,train
BM25_DLM,17,recip_rank,1.0,train
BM25_DLM,17,nDCG@10,0.8143564474765724,train
BM25_DLM,17,AP(rel=3)@10,0.19253086419753088,train
BM25_DLM,18,recip_rank,1.0,train
BM25_DLM,18,nDCG@10,0.5644006736759836,train
BM25_DLM,18,AP(rel=3)@10,0.15669642857142857,train
BM25_DLM,19,recip_rank,1.0,validation
BM25_DLM,19,nDCG@10,0.6742104062627995,validation
BM25_DLM,19,AP(rel=3)@10,0.2556935817805383,validation
BM25_DLM,2,recip_rank,1.0,train
BM25_DLM,2,nDCG@10,0.8464433813753757,train
BM25_DLM,2,AP(rel=3)@10,0.2136314886314886,train
BM25_DLM,20,recip_rank,1.0,train
BM25_DLM,20,nDCG@10,0.7351655859590998,train
BM25_DLM,20,AP(rel=3)@10,0.3234126984126984,train
BM25_DLM,21,recip_rank,0.16666666666666666,validation
BM25_DLM,21,nDCG@10,0.08825703586257856,validation
BM25_DLM,21,AP(rel=3)@10,0.004608294930875576,validation
BM25_DLM,22,recip_rank,1.0,train
BM25_DLM,22,nDCG@10,0.861212173395201,train
BM25_DLM,22,AP(rel=3)@10,0.2127659574468085,train
BM25_DLM,23,recip_rank,1.0,validation
BM25_DLM,23,nDCG@10,0.7728697833108253,validation
BM25_DLM,23,AP(rel=3)@10,0.1812372812372812,validation
BM25_DLM,24,recip_rank,1.0,train
BM25_DLM,24,nDCG@10,0.6000285014908352,train
BM25_DLM,24,AP(rel=3)@10,0.1963659147869674,train
BM25_DLM,25,recip_rank,1.0,train
BM25_DLM,25,nDCG@10,0.6990411097420052,train
BM25_DLM,25,AP(rel=3)@10,0.16137566137566137,train
BM25_DLM,26,recip_rank,1.0,train
BM25_DLM,26,nDCG@10,0.25965829035759735,train
BM25_DLM,26,AP(rel=3)@10,0.0,train
BM25_DLM,27,recip_rank,0.5,train
BM25_DLM,27,nDCG@10,0.30722027661089846,train
BM25_DLM,27,AP(rel=3)@10,0.07692307692307693,train
BM25_DLM,28,recip_rank,1.0,train
BM25_DLM,28,nDCG@10,0.39427649160001305,train
BM25_DLM,28,AP(rel=3)@10,0.0,train
BM25_DLM,29,recip_rank,1.0,test
BM25_DLM,29,nDCG@10,0.6603109573859398,test
BM25_DLM,29,AP(rel=3)@10,0.17142857142857143,test
BM25_DLM,3,recip_rank,1.0,train
BM25_DLM,3,nDCG@10,0.9683181694862993,train
BM25_DLM,3,AP(rel=3)@10,0.19607843137254902,train
BM25_DLM,30,recip_rank,1.0,train
BM25_DLM,30,nDCG@10,0.4379375772153073,train
BM25_DLM,30,AP(rel=3)@10,0.12083333333333332,train
BM25_DLM,31,recip_rank,0.5,train
BM25_DLM,31,nDCG@10,0.10261091470316515,train
BM25_DLM,31,AP(rel=3)@10,0.0,train
BM25_DLM,32,recip_rank,1.0,train
BM25_DLM,32,nDCG@10,0.6870204540120769,train
BM25_DLM,32,AP(rel=3)@10,0.375,train
BM25_DLM,33,recip_rank,1.0,train
BM25_DLM,33,nDCG@10,0.3144547079449447,train
BM25_DLM,33,AP(rel=3)@10,0.09090909090909091,train
BM25_DLM,34,recip_rank,1.0,train
BM25_DLM,34,nDCG@10,0.12978771778714632,train
BM25_DLM,34,AP(rel=3)@10,0.012345679012345678,train
BM25_DLM,35,recip_rank,1.0,train
BM25_DLM,35,nDCG@10,0.6972173813478773,train
BM25_DLM,35,AP(rel=3)@10,0.21666666666666667,train
BM25_DLM,36,recip_rank,1.0,train
BM25_DLM,36,nDCG@10,0.727829937213045,train
BM25_DLM,36,AP(rel=3)@10,0.20922619047619045,train
BM25_DLM,37,recip_rank,1.0,train
BM25_DLM,37,nDCG@10,0.5674103394797841,train
BM25_DLM,37,AP(rel=3)@10,0.32666666666666666,train
